criterion,max_depth,min_samples_leaf,min_samples_split,mean_test_score,std_test_score,rank_test_score
entropy,7,2,10,0.9343,0.0567,1
entropy,10,2,10,0.9343,0.0567,1
entropy,7,1,10,0.9343,0.0567,1
entropy,5,1,10,0.9343,0.0567,1
entropy,5,2,10,0.9343,0.0567,1
entropy,10,1,10,0.9343,0.0567,1
entropy,,2,10,0.9343,0.0567,1
entropy,,1,10,0.9343,0.0567,1
entropy,5,4,2,0.9234,0.0452,9
entropy,5,4,5,0.9234,0.0452,9
entropy,,4,5,0.9234,0.0452,9
entropy,10,4,5,0.9234,0.0452,9
entropy,10,4,2,0.9234,0.0452,9
entropy,,4,2,0.9234,0.0452,9
entropy,7,4,2,0.9234,0.0452,9
entropy,7,4,5,0.9234,0.0452,9
entropy,7,4,10,0.9169,0.0551,17
entropy,,4,10,0.9169,0.0551,17
entropy,10,4,10,0.9169,0.0551,17
entropy,5,4,10,0.9169,0.0551,17
entropy,3,2,10,0.9155,0.0485,21
entropy,3,1,10,0.9155,0.0485,21
entropy,3,1,5,0.9155,0.0485,21
entropy,3,4,5,0.9155,0.0485,21
entropy,3,1,2,0.9155,0.0485,21
entropy,3,4,10,0.9155,0.0485,21
entropy,3,4,2,0.9155,0.0485,21
entropy,5,1,5,0.9151,0.0683,28
entropy,7,1,2,0.9151,0.0683,28
entropy,5,1,2,0.9151,0.0683,28
entropy,7,1,5,0.9151,0.0683,28
entropy,10,1,2,0.9151,0.0683,28
entropy,,1,5,0.9151,0.0683,28
entropy,,1,2,0.9151,0.0683,28
entropy,10,1,5,0.9151,0.0683,28
entropy,3,2,5,0.9093,0.0552,36
gini,10,4,2,0.9051,0.0613,37
gini,10,4,5,0.9051,0.0613,37
gini,7,4,5,0.9051,0.0613,37
gini,5,4,2,0.9051,0.0613,37
gini,7,4,2,0.9051,0.0613,37
gini,5,4,5,0.9051,0.0613,37
gini,,4,2,0.9051,0.0613,37
gini,,4,5,0.9051,0.0613,37
gini,10,1,5,0.9049,0.0546,45
gini,5,1,5,0.9049,0.0546,45
gini,7,1,5,0.9049,0.0546,45
gini,,1,5,0.9049,0.0546,45
entropy,,2,5,0.9032,0.0774,49
entropy,7,2,5,0.9032,0.0774,49
entropy,10,2,5,0.9032,0.0774,49
entropy,5,2,5,0.9032,0.0774,49
entropy,3,2,2,0.9031,0.0550,53
gini,10,1,10,0.8990,0.0607,54
gini,,1,10,0.8990,0.0607,54
gini,5,1,10,0.8990,0.0607,54
gini,5,2,10,0.8990,0.0607,54
gini,,2,10,0.8990,0.0607,54
gini,7,2,10,0.8990,0.0607,54
gini,7,1,10,0.8990,0.0607,54
gini,10,2,10,0.8990,0.0607,54
entropy,5,2,2,0.8976,0.0851,62
entropy,7,2,2,0.8976,0.0851,62
entropy,10,2,2,0.8976,0.0851,62
entropy,,2,2,0.8976,0.0851,62
gini,3,1,2,0.8930,0.0696,66
gini,3,1,5,0.8930,0.0696,66
gini,3,1,10,0.8930,0.0696,66
gini,3,2,10,0.8930,0.0696,66
gini,,4,10,0.8929,0.0528,70
gini,10,4,10,0.8929,0.0528,70
gini,7,4,10,0.8929,0.0528,70
gini,5,4,10,0.8929,0.0528,70
gini,,2,5,0.8927,0.0518,74
gini,5,2,5,0.8927,0.0518,74
gini,7,2,5,0.8927,0.0518,74
gini,10,2,5,0.8927,0.0518,74
gini,5,1,2,0.8919,0.0601,78
gini,3,4,10,0.8870,0.0622,79
gini,3,4,5,0.8870,0.0622,79
gini,3,4,2,0.8870,0.0622,79
gini,3,2,5,0.8869,0.0726,82
gini,5,2,2,0.8866,0.0571,83
gini,10,2,2,0.8866,0.0571,83
gini,7,2,2,0.8866,0.0571,83
gini,,2,2,0.8866,0.0571,83
gini,3,2,2,0.8807,0.0704,87
gini,7,1,2,0.8720,0.0635,88
gini,10,1,2,0.8720,0.0635,88
gini,,1,2,0.8720,0.0635,88
